epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,26140.3,0.89294,1.09246,0.98308,0.60861,0.71164,0.70496,0.53942,0.85879,0.96052,1.03636,0.007294,0.007294,0.007294
84,26415.6,0.89511,1.06597,0.98632,0.60973,0.72387,0.7087,0.54533,0.8521,0.97823,1.03214,0.007261,0.007261,0.007261
85,26690.4,0.90238,1.07043,0.98439,0.60772,0.7104,0.70405,0.54026,0.85138,0.98096,1.02869,0.007228,0.007228,0.007228
86,26966.3,0.89766,1.11838,0.98172,0.6094,0.72815,0.70881,0.54427,0.85467,0.96901,1.03285,0.007195,0.007195,0.007195
87,27243.3,0.89545,1.094,0.98917,0.60849,0.7159,0.70224,0.53784,0.85634,0.97105,1.03423,0.007162,0.007162,0.007162
88,27519.7,0.89742,1.08579,0.99154,0.61248,0.7203,0.70913,0.54485,0.85005,0.96135,1.03426,0.007129,0.007129,0.007129
89,27795.4,0.8921,1.05379,0.98709,0.61779,0.71755,0.71436,0.54905,0.84908,0.9655,1.03147,0.007096,0.007096,0.007096
90,28072.1,0.89556,1.04472,0.98242,0.6097,0.7324,0.70682,0.54312,0.84592,0.96161,1.03307,0.007063,0.007063,0.007063
91,28371.2,0.8959,1.06534,0.98619,0.6211,0.7203,0.71471,0.55156,0.85023,0.96039,1.02836,0.00703,0.00703,0.00703
92,28710.5,0.88678,1.04994,0.98572,0.60361,0.72772,0.70892,0.54537,0.85357,0.97705,1.0327,0.006997,0.006997,0.006997
93,29003.1,0.89154,1.06837,0.98163,0.61532,0.70792,0.70763,0.54291,0.84908,0.95225,1.02999,0.006964,0.006964,0.006964
94,29280.4,0.89208,1.04517,0.98195,0.58752,0.72745,0.69969,0.53744,0.85039,0.95533,1.03116,0.006931,0.006931,0.006931
95,29558.2,0.89529,1.04863,0.98382,0.60419,0.71865,0.70921,0.54526,0.85137,0.96356,1.03184,0.006898,0.006898,0.006898
